Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1
1,Monterrey,34,19,9,6,57,31,+26,66,"30,000","Aldo de Nigris, Darío Carreño - 10",Jonathan Orozco,→ CONCACAF Champions League via playoff win
2
2,Toluca,34,19,8,7,59,34,+25,65,"20,000",Héctor Mancilla - 20,Alfredo Talavera,→ CONCACAF Champions League via playoff win
3
3,Morelia,34,17,7,10,53,28,+25,58,"24,000",Miguel Sabah - 13,Moisés Muñoz,
4
4,Cruz Azul,34,18,4,12,55,39,+16,58,"23,500",Emanuel Villa - 23,José Corona,→ CONCACAF Champions League via playoff loss
5
5,América,34,15,10,9,58,36,+22,55,"45,500",Salvador Cabañas - 13,Guillermo Ochoa,
6
6,Santos,34,15,10,9,56,49,+7,55,"21,500",Daniel Ludueña - 10,Oswaldo Sánchez,→ CONCACAF Champions League via playoff loss
7
7,Guadalajara,34,15,6,13,51,50,+1,51,"40,000",Javier Hernández - 21,Luis Ernesto Michel,
8
8,Pachuca,34,14,7,13,51,55,-4,49,"22,000","Ulises Mendivil, Juan Carlos Cacho - 8",Miguel Calero,
9
9,UNAM,34,11,12,11,36,33,+3,45,"21,500",Pablo Barrera - 11,Sergio Bernal,
10
10,Puebla,34,11,12,11,47,50,-3,45,"18,500",Hérculez Gómez - 10,Jorge Villalpando,
11
11,Atlas,34,12,6,16,40,48,-8,42,"37,500",Miguel Zepeda - 7,Mariano Barbosa,
12
12,UANL,34,10,11,13,42,44,-2,41,"31,500",Itamar Batista Da Silva - 10,Cirilo Saucedo,
13
13,Tecos,34,10,9,15,49,61,-12,39,"10,000",Fredy Bareiro - 12,Mario Rodríguez Cervantes,
14
14,Atlante,34,11,6,17,39,52,-13,39,"17,500","Johan Fano, Rafael Márquez Lugo - 10",Federico Vilar,
15
15,Querétaro,34,11,6,17,30,54,-24,39,"15,000",Isaac Romo - 8,Carlos Bossio,
16
16,Chiapas,34,9,11,14,39,46,-7,38,"16,000",Jackson Martínez - 9,Óscar Pérez Rojas,
17
17,San Luis,34,8,11,15,39,53,-14,35,"20,000",Alfredo Moreno - 13,Adrián Martínez,
18
18,Juárez,34,4,9,21,17,55,-38,21,"15,500",Héctor Giménez - 4,Christian Martínez,Relegated
